Timestamp,Stock,Close,MA20,RSI,Signal
2026-05-17 01:39:05,RELIANCE,1336.4,1391.84,43.64,SELL 🔴
2026-05-17 01:40:51,TCS,2264.0,2426.39,18.97,HOLD 🟡
2026-05-17 13:31:10,RELIANCE,1336.4,1391.84,43.64,SELL 🔴
2026-05-17 13:34:03,HDFCBANK,767.5,779.85,41.16,SELL 🔴
2026-05-17 13:34:41,HDFCBANK,767.5,779.85,41.16,SELL 🔴
2026-05-17 13:35:17,HDFCBANK,767.5,779.85,41.16,SELL 🔴
2026-05-17 15:32:44,RELIANCE,1336.4,1391.84,43.64,SELL 🔴
2026-05-17 15:32:44,RELIANCE,1336.4,1391.84,43.64,SELL 🔴
2026-05-17 16:18:52,RELIANCE,1336.4,1391.84,43.64,SELL 🔴
2026-05-17 19:33:04,RELIANCE,1336.4,1391.84,43.64,SELL 🔴
2026-05-17 19:33:21,SBIN,963.2,1039.25,21.01,HOLD 🟡
2026-05-17 19:33:35,HINDUNILVR,2272.2,2295.49,42.74,SELL 🔴
2026-05-17 19:45:28,RELIANCE,1336.4,1391.84,43.64,SELL 🔴
2026-05-17 19:45:44,RELIANCE,1336.4,1391.84,43.64,SELL 🔴
2026-05-17 19:45:48,RELIANCE,1336.4,1391.84,43.64,SELL 🔴
2026-05-17 19:46:37,RELIANCE,1336.4,1391.84,43.64,SELL 🔴
2026-05-17 19:46:39,RELIANCE,1336.4,1391.84,43.64,SELL 🔴
2026-05-17 20:08:51,RELIANCE,1336.4,1391.84,43.64,SELL 🔴
2026-05-17 20:09:25,RELIANCE,1336.4,1391.84,43.64,SELL 🔴
2026-05-17 20:28:11,RELIANCE,1336.4,1391.84,43.64,SELL 🔴
2026-05-17 20:30:11,RELIANCE,1336.4,1391.84,43.64,SELL 🔴
2026-05-17 22:37:40,RELIANCE,1336.4,1391.84,43.64,SELL 🔴
2026-05-17 22:43:04,RELIANCE,1336.4,1391.84,43.64,SELL 🔴
2026-05-17 22:57:37,RELIANCE,1336.4,1391.84,43.64,SELL 🔴
2026-05-17 23:06:44,RELIANCE,1336.4,1391.84,43.64,SELL 🔴
2026-05-18 00:40:41,RELIANCE,1336.4,1391.84,43.64,SELL 🔴
2026-05-18 00:41:14,RELIANCE,1336.4,1391.84,43.64,SELL 🔴
2026-05-18 00:41:17,RELIANCE,1336.4,1391.84,43.64,SELL 🔴
2026-05-18 21:36:28,RELIANCE,1335.9,1390.47,37.28,SELL 🔴
2026-05-18 21:37:12,RELIANCE,1335.9,1390.47,37.28,SELL 🔴
2026-05-18 21:37:15,RELIANCE,1335.9,1390.47,37.28,SELL 🔴
2026-05-18 21:48:32,RELIANCE,1335.9,1390.47,37.28,SELL 🔴
2026-05-18 21:58:15,RELIANCE,1335.9,1390.47,37.28,SELL 🔴
2026-05-19 08:02:29,RELIANCE,1335.9,1390.47,37.28,SELL 🔴
2026-05-19 08:02:45,RELIANCE,1335.9,1390.47,37.28,SELL 🔴
2026-05-21 07:02:38,RELIANCE,1359.7,1388.82,33.59,SELL 🔴
2026-05-21 07:04:07,RELIANCE,1359.7,1388.82,33.59,SELL 🔴
2026-05-21 23:40:26,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:41:15,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:41:40,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:41:56,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:42:00,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:42:08,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:42:09,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:50:29,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:50:41,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:50:54,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:50:55,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:51:00,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:51:02,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:51:12,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:51:14,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:51:22,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:51:22,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:51:25,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:51:27,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:51:45,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:51:46,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:51:54,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:51:55,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:52:03,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:52:05,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:52:12,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:52:14,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:52:43,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:52:45,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:52:57,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:52:58,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:53:09,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:53:12,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-21 23:53:15,RELIANCE,1349.6,1389.13,32.1,SELL 🔴
2026-05-23 00:32:46,RELIANCE,,,20.82,WAIT
2026-05-23 00:34:47,RELIANCE,,,20.82,WAIT
2026-05-23 01:00:18,RELIANCE,,,20.82,WAIT
2026-05-23 01:00:43,RELIANCE,,,20.82,WAIT
2026-05-23 01:01:14,HEROMOTOCO,,,44.72,WAIT
2026-05-23 01:01:24,BAJAJ-AUTO,,,62.67,WAIT
2026-05-23 01:02:07,JSWSTEEL,,,54.47,WAIT
2026-05-23 01:02:24,JSWSTEEL,,,54.47,WAIT
2026-05-23 01:02:32,JSWSTEEL,,,54.47,WAIT
2026-05-23 01:02:34,JSWSTEEL,,,54.47,WAIT
2026-05-23 01:02:43,JSWSTEEL,,,54.47,WAIT
2026-05-23 01:03:10,JSWSTEEL,,,54.47,WAIT
2026-05-23 01:03:13,JSWSTEEL,,,54.47,WAIT
2026-05-23 01:03:32,JSWSTEEL,,,54.47,WAIT
2026-05-23 01:03:37,JSWSTEEL,,,54.47,WAIT
2026-05-23 01:15:11,RELIANCE,,,20.82,WAIT
2026-05-23 01:17:00,ADANIENT,,,66.64,WAIT
2026-05-23 01:17:29,ADANIENT,,,66.64,WAIT
2026-05-23 01:17:52,TMPV,363.35,351.06,63.06,BUY 🟢
2026-05-23 01:18:09,TMPV,363.35,351.06,63.06,BUY 🟢
2026-05-23 01:18:42,RELIANCE,,,20.82,WAIT
2026-05-23 01:23:00,RELIANCE,,,20.82,WAIT
